A	B
409.971	-0.19325
409.9715	-0.19301
409.972	-0.1928
409.9725	-0.19293
409.973	-0.19299
409.9735	-0.19304
409.974	-0.19268
409.9745	-0.19264
409.975	-0.19274
409.9755	-0.19295
409.976	-0.19302
409.9765	-0.19257
409.977	-0.19263
409.9775	-0.19267
409.978	-0.19297
409.9785	-0.19291
409.979	-0.19333
409.9795	-0.19244
409.98	-0.19286
409.9805	-0.19273
409.981	-0.19281
409.9815	-0.19246
409.982	-0.19273
409.9825	-0.19262
409.983	-0.19269
409.9835	-0.19289
409.984	-0.19303
409.9845	-0.1925
409.985	-0.19269
409.9855	-0.19275
409.986	-0.1926
409.9865	-0.19247
409.987	-0.19283
409.9875	-0.19265
409.988	-0.1929
409.9885	-0.19307
409.989	-0.19277
409.9895	-0.19289
409.99	-0.19263
409.9905	-0.19253
409.991	-0.19267
409.9915	-0.1928
409.992	-0.19281
409.9925	-0.1925
409.993	-0.19256
409.9935	-0.19269
409.994	-0.1926
409.9945	-0.19253
409.995	-0.19253
409.9955	-0.19249
409.996	-0.19258
409.9965	-0.19275
409.997	-0.19264
409.9975	-0.19258
409.998	-0.19253
409.9985	-0.19293
409.999	-0.19294
409.9995	-0.1927
410	-0.19245
